iter	Logloss
0	0.5965570165
1	0.5374448182
2	0.4898724504
3	0.4612349764
4	0.4411976919
5	0.4281828903
6	0.4132440896
7	0.4039971043
8	0.398328624
9	0.3959607059
10	0.3920472939
11	0.3881943276
12	0.3834106823
13	0.3805667722
14	0.3776113831
15	0.3731382137
16	0.3689724985
17	0.3683607185
18	0.3640355655
19	0.3621984556
20	0.3612294757
21	0.3603260332
22	0.3584393482
23	0.357807278
24	0.3562893824
25	0.3548081481
26	0.3542248951
27	0.3515058162
28	0.3493136979
29	0.3481671745
30	0.3474338901
31	0.3445346639
32	0.3434338748
33	0.3422735699
34	0.3412397832
35	0.3399908054
36	0.3390556373
37	0.3381673649
38	0.3366868139
39	0.3361929555
40	0.3346979156
41	0.3338474324
42	0.3337463455
43	0.3332740976
44	0.3323506188
45	0.3322854339
46	0.3311691574
47	0.3292385313
48	0.3288560154
49	0.3271921297
50	0.3229991133
51	0.3229434604
52	0.3223335958
53	0.3213985712
54	0.3208165379
55	0.3206168679
56	0.3205740019
57	0.3196393831
58	0.3190692321
59	0.3176064298
60	0.3172873781
61	0.3163257888
62	0.3154890887
63	0.3142810779
64	0.3127405957
65	0.3125149303
66	0.3123180607
67	0.3121399035
68	0.3118394986
69	0.3098876925
70	0.3097278976
71	0.3093078916
72	0.3089606851
73	0.3061535591
74	0.3046477066
75	0.303833454
76	0.3036215492
77	0.3022609066
78	0.3018347008
79	0.3005160022
80	0.300114844
81	0.2999842157
82	0.2991173341
83	0.2978311838
84	0.2973602059
85	0.2971914742
86	0.2970285912
87	0.2970045629
88	0.2968283065
89	0.2966769635
90	0.2955360713
91	0.295460903
92	0.2949176556
93	0.2944383352
94	0.293351233
95	0.292903277
96	0.2921309711
97	0.2905960463
98	0.2894756667
99	0.2890984845
100	0.2884183925
101	0.2869393318
102	0.2862104374
103	0.2860380717
104	0.2859542676
105	0.2854625462
106	0.2834954425
107	0.28129626
108	0.2811978903
