iter	Passed	Remaining
0	60	6553
1	61	3277
2	61	2184
3	62	1635
4	62	1306
5	63	1085
6	63	928
7	64	809
8	64	719
9	65	643
10	65	583
11	65	532
12	66	491
13	67	454
14	67	423
15	67	395
16	68	370
17	68	348
18	69	328
19	69	310
20	69	293
21	70	278
22	70	264
23	71	251
24	71	240
25	72	229
26	72	220
27	72	210
28	73	202
29	73	194
30	74	186
31	74	179
32	75	172
33	75	166
34	76	160
35	76	155
36	76	149
37	77	144
38	77	139
39	78	134
40	78	130
41	79	126
42	79	121
43	79	117
44	80	114
45	80	110
46	80	106
47	81	103
48	81	100
49	82	96
50	82	93
51	82	90
52	83	87
53	83	85
54	84	82
55	84	79
56	84	77
57	85	74
58	85	72
59	86	70
60	86	68
61	86	65
62	87	63
63	87	61
64	88	59
65	88	57
66	89	56
67	89	54
68	90	52
69	90	50
70	91	48
71	91	47
72	91	45
73	92	43
74	92	42
75	93	40
76	93	38
77	94	37
78	94	35
79	95	34
80	95	33
81	96	31
82	96	30
83	97	28
84	97	27
85	97	26
86	98	24
87	98	23
88	99	22
89	99	21
90	100	19
91	100	18
92	101	17
93	101	16
94	102	15
95	102	13
96	102	12
97	103	11
98	103	10
99	104	9
100	104	8
101	105	7
102	105	6
103	106	5
104	106	4
105	107	3
106	107	2
107	108	1
108	108	0
